Estado,Jan 2020,Jan 2021,Taxa de crescimento (%)
Bahia,941490,679356,-27.84
Pernambuco,828422,697056,-15.86
Ceara,669474,399274,-40.36
Rio Grande do Norte,241413,157804,-34.63
Alagoas,204930,141612,-30.90
Maranhao,177686,132265,-25.56
Paraiba,155553,130571,-16.06
Mato Grosso do Sul,142846,89310,-37.48
Sergipe,109656,80845,-26.27
Piaui,102052,83827,-17.86
