Estado,Jan 2020,Jan 2021,Taxa de crescimento (%)
Para,406146,337914,-16.80
Amazonas,281455,184527,-34.44
Rondonia,86336,63787,-26.12
Amapa,55700,40726,-26.88
Tocantins,46137,42937,-6.94
Acre,40196,28924,-28.04
Roraima,31906,25352,-20.54
