Estado,Jan 2020,Jan 2021,Taxa de crescimento (%)
Sao Paulo,5748954,3427773,-40.38
Rio de Janeiro,1740349,841345,-51.66
Minas Gerais,1039230,653279,-37.14
Espirito Santo,297619,172312,-42.10
