Estado,Jan 2020,Jan 2021,Taxa de crescimento (%)
Distrito Federal,1477584,937921,-36.52
Mato Grosso,281390,211080,-24.99
Goias,267790,180568,-32.57
Mato Grosso do Sul,142846,89310,-37.48
